"Employment Income Statistics in 2010 (7), Sex (3), Work Activity in 2010 (3), Highest Certificate, Diploma or Degree (6) and Occupation - National Occupational Classification (NOC) 2011 (693) for the Population Aged 15 Years and Over in Private Households of Canada, Provinces and Territories, 2011 National Household Survey"
"Geography = Canada [1]"
"Global non-response rate (GNR) [2] =  26.1 %"
"Sex (3) =   Female"
"Work activity in 2010 (3) = Total - Work activity in 2010"
"Highest certificate, diploma or degree (6) = Total - Highest certificate, diploma or degree [3]"
"Occupation - National Occupational Classification (NOC) 2011 (693)","Total - Employment income statistics in 2010 [4]","  With employment income","    Median employment income [5]","    Average employment income [6]","  With wages and salaries","    Median wages and salaries [7]","    Average wages and salaries [8]", 
"          0711 Construction managers",7690,7150,48726,56142,6505,49538,57970 
"          0712 Home building and renovation managers",2315,2030,24221,36023,1505,31638,41419 
"          0714 Facility operation and maintenance managers",9735,9170,46057,49595,8930,46333,50090 
"        073 Managers in transportation",7385,7030,55356,58971,6700,56403,60621 
"          0731 Managers in transportation",7385,7025,55356,58971,6700,56403,60621 
"        081 Managers in natural resources production and fishing",1515,1395,77031,92867,1235,77267,95592 
"          0811 Managers in natural resources production and fishing",1515,1395,77031,92867,1240,77267,95592 
"        082 Managers in agriculture, horticulture and aquaculture",47020,39550,13330,19106,20950,17546,23211 
"          0821 Managers in agriculture",44900,37645,12951,18595,19635,16830,22648 
"          0822 Managers in horticulture",1975,1760,20357,28686,1195,23243,30703 
"          0823 Managers in aquaculture",145,145,38656,35848,120,41133,41145 
"        091 Managers in manufacturing and utilities",16610,15675,55590,65842,14865,57154,67936 
"          0911 Manufacturing managers",14450,13690,51999,61376,12920,54247,63499 
"          0912 Utilities managers",2160,1980,89744,96707,1950,89801,97349 
"    1 Business, finance and administration occupations",2221165,2084935,35632,38151,2001960,36104,38521 
"      11 Professional occupations in business and finance",322755,307960,50728,57018,288200,51654,57479 
"        111 Auditors, accountants and investment professionals",191670,182945,50504,58599,170040,51364,58996 
"          1111 Financial auditors and accountants",122180,116755,49574,57549,109375,50123,57539 
"          1112 Financial and investment analysts",20010,19255,57565,61575,18990,57688,61873 
"          1113 Securities agents, investment dealers and brokers",5980,5485,49548,74271,5035,50436,75812 
"          1114 Other financial officers",43505,41450,50082,58102,36645,51386,59544 
"        112 Human resources and business service professionals",131085,125020,51092,54704,118160,51974,55296 
"          1121 Human resources professionals",47070,45665,56583,59162,44580,56934,59389 
"          1122 Professional occupations in business management consulting",29230,27245,56243,60485,24305,58544,62178 
"          1123 Professional occupations in advertising, marketing and public relations",54785,52110,43760,47774,49275,44522,48200 
"      12 Administrative and financial supervisors and administrative occupations",864580,816865,37573,38954,791025,37987,39415 
"        121 Administrative services supervisors",43410,40815,46851,47457,40280,47055,47685 
"          1211 Supervisors, general office and administrative support workers",8870,8515,49253,50266,8365,49714,50723 
"          1212 Supervisors, finance and insurance office workers",12900,12455,53679,55432,12340,53866,55420 
"          1213 Supervisors, library, correspondence and related information workers",4295,3340,22410,28786,3190,24697,29723 
"          1214 Supervisors, mail and message distribution occupations",6180,5810,44951,42919,5785,45019,42971 
"          1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",11160,10685,42005,44233,10605,42158,44261 
"        122 Administrative and regulatory occupations",382200,362045,41977,44219,349860,42426,44827 
"          1221 Administrative officers",222280,211075,39494,41739,204305,39994,42268 
"          1222 Executive assistants",39990,38525,49941,50852,37950,50115,51205 
"          1223 Human resources and recruitment officers",22525,21320,45619,47094,20850,45778,47142 
"          1224 Property administrators",27485,24270,37557,42603,21635,40019,45043 
"          1225 Purchasing agents and officers",24725,23505,49677,53890,23230,49861,54023 
"          1226 Conference and event planners",17960,16880,31241,33640,15580,31837,33915 
"          1227 Court officers and justices of the peace",4470,4300,48400,49302,4225,48482,49668 
"          1228 Employment insurance, immigration, border services and revenue officers",22765,22165,52569,52117,22095,52700,52240 
"        124 Office administrative assistants - general, legal and medical",415310,391425,33529,33250,380475,33957,33558 
"          1241 Administrative assistants",359830,338545,32778,32569,328590,33208,32882 
"          1242 Legal administrative assistants",39400,37490,40518,39747,36700,40818,40070 
"          1243 Medical administrative assistants",16075,15385,33021,32407,15180,33096,32454 
"        125 Court reporters, transcriptionists, records management technicians and statistical officers",23655,22585,39499,38038,20410,40492,39501 
"          1251 Court reporters, medical transcriptionists and related occupations",9595,9025,30691,30216,7000,33931,32294 
"          1252 Health information management occupations",4515,4400,42999,43501,4360,42933,43390 
"          1253 Records management technicians",6265,6035,42206,41850,5960,42271,41909 
"          1254 Statistical officers and related research support occupations",3275,3120,46144,45584,3085,46133,45707 
"      13 Finance, insurance and related business administrative occupations",167905,156550,33589,36320,138190,35851,38226 
"        131 Finance, insurance and related business administrative occupations",167910,156545,33589,36320,138190,35851,38226 
"          1311 Accounting technicians and bookkeepers",134030,123795,29564,32357,106070,31647,34227 
"          1312 Insurance adjusters and claims examiners",16415,15905,50096,51790,15745,50128,51574 
"          1313 Insurance underwriters",10570,10200,49373,51666,10055,49493,51968 
"          1314 Assessors, valuators and appraisers",3805,3670,50871,54006,3395,52047,55187 
"          1315 Customs, ship and other brokers",3090,2975,38430,44063,2925,38481,44453 
"      14 Office support occupations",728935,675430,29580,30087,659750,29970,30304 
"        141 General office workers",409790,381680,26512,27655,373060,26881,27829 
"          1411 General office support workers",219550,204665,30823,30933,198545,31366,31243 
