"Employment Income Statistics in 2010 (7), Sex (3), Work Activity in 2010 (3), Highest Certificate, Diploma or Degree (6) and Occupation - National Occupational Classification (NOC) 2011 (693) for the Population Aged 15 Years and Over in Private Households of Canada, Provinces and Territories, 2011 National Household Survey"
"Geography = Canada [1]"
"Global non-response rate (GNR) [2] =  26.1 %"
"Sex (3) =   Male"
"Work activity in 2010 (3) = Total - Work activity in 2010"
"Highest certificate, diploma or degree (6) = Total - Highest certificate, diploma or degree [3]"
"Occupation - National Occupational Classification (NOC) 2011 (693)","Total - Employment income statistics in 2010 [4]","  With employment income","    Median employment income [5]","    Average employment income [6]","  With wages and salaries","    Median wages and salaries [7]","    Average wages and salaries [8]", 
"          0711 Construction managers",70235,65145,63448,77820,56245,69750,84081 
"          0712 Home building and renovation managers",38525,33780,25247,36733,20695,33948,44835 
"          0714 Facility operation and maintenance managers",40505,38830,57861,65487,38025,58462,66191 
"        073 Managers in transportation",24135,22935,69267,76706,21890,70586,78120 
"          0731 Managers in transportation",24140,22930,69267,76706,21890,70586,78120 
"        081 Managers in natural resources production and fishing",12570,11855,114133,149557,11270,117511,154928 
"          0811 Managers in natural resources production and fishing",12570,11860,114133,149557,11265,117511,154928 
"        082 Managers in agriculture, horticulture and aquaculture",135605,125215,18346,26464,60990,24435,32098 
"          0821 Managers in agriculture",131345,121340,17975,25571,57945,23618,30756 
"          0822 Managers in horticulture",3150,2820,37327,58768,2075,41625,63823 
"          0823 Managers in aquaculture",1110,1060,42125,42654,970,43011,44424 
"        091 Managers in manufacturing and utilities",73840,70285,77229,95197,67595,78775,97279 
"          0911 Manufacturing managers",63595,60345,74143,88364,57885,75472,90483 
"          0912 Utilities managers",10245,9940,103431,136683,9715,105308,137779 
"    1 Business, finance and administration occupations",922720,859585,43627,55844,797840,44460,55653 
"      11 Professional occupations in business and finance",274300,257290,61204,84739,221640,63114,85484 
"        111 Auditors, accountants and investment professionals",187080,176565,62644,91554,149565,64385,91914 
"          1111 Financial auditors and accountants",99600,94490,63298,84167,82260,63402,79494 
"          1112 Financial and investment analysts",19900,19165,65930,85171,18705,66253,85336 
"          1113 Securities agents, investment dealers and brokers",12420,10980,69797,161193,9195,80118,180452 
"          1114 Other financial officers",55165,51920,59315,92627,39405,63124,100301 
"        112 Human resources and business service professionals",87220,80730,58353,69834,72070,60858,72141 
"          1121 Human resources professionals",19150,18380,66199,71905,17455,67324,73115 
"          1122 Professional occupations in business management consulting",40355,36475,60847,76309,30735,65234,80275 
"          1123 Professional occupations in advertising, marketing and public relations",27715,25875,49538,59236,23880,50684,60959 
"      12 Administrative and financial supervisors and administrative occupations",202985,189185,49535,56152,179850,50375,57297 
"        121 Administrative services supervisors",40445,38370,51714,55381,37745,52067,55773 
