"Employment Income Statistics in 2010 (7), Sex (3), Work Activity in 2010 (3), Highest Certificate, Diploma or Degree (6) and Occupation - National Occupational Classification (NOC) 2011 (693) for the Population Aged 15 Years and Over in Private Households of Canada, Provinces and Territories, 2011 National Household Survey"
"Geography = Canada [1]"
"Global non-response rate (GNR) [2] =  26.1 %"
"Sex (3) = Total - Sex"
"Work activity in 2010 (3) = Total - Work activity in 2010"
"Highest certificate, diploma or degree (6) = Total - Highest certificate, diploma or degree [3]"
"Occupation - National Occupational Classification (NOC) 2011 (693)","Total - Employment income statistics in 2010 [4]","  With employment income","    Median employment income [5]","    Average employment income [6]","  With wages and salaries","    Median wages and salaries [7]","    Average wages and salaries [8]", 
"          0711 Construction managers",77925,72295,60673,75676,62745,66483,81376 
"          0712 Home building and renovation managers",40840,35810,25133,36693,22195,33694,44603 
"          0714 Facility operation and maintenance managers",50245,48000,55623,62451,46955,56324,63128 
"        073 Managers in transportation",31520,29960,65172,72547,28590,66780,74018 
"          0731 Managers in transportation",31525,29955,65172,72547,28590,66780,74018 
"        081 Managers in natural resources production and fishing",14090,13255,110695,143590,12505,114174,149051 
"          0811 Managers in natural resources production and fishing",14090,13250,110695,143590,12510,114174,149051 
"        082 Managers in agriculture, horticulture and aquaculture",182625,164770,16962,24698,81940,21890,29826 
"          0821 Managers in agriculture",176240,158985,16524,23919,77580,21172,28704 
"          0822 Managers in horticulture",5130,4580,30341,47214,3270,34983,51715 
"          0823 Managers in aquaculture",1255,1200,41434,41840,1090,42974,44068 
"        091 Managers in manufacturing and utilities",90450,85965,73229,89844,82460,75047,91990 
"          0911 Manufacturing managers",78045,74045,69738,83373,70800,71487,85560 
"          0912 Utilities managers",12400,11920,101473,130038,11660,102265,131025 
"    1 Business, finance and administration occupations",3143885,2944515,37363,43316,2799805,37931,43403 
"      11 Professional occupations in business and finance",597060,565250,54606,69636,509840,55651,69653 
"        111 Auditors, accountants and investment professionals",378750,359505,55150,74784,319605,56228,74401 
"          1111 Financial auditors and accountants",221775,211250,54224,69455,191635,54824,66964 
"          1112 Financial and investment analysts",39910,38420,60789,73346,37695,60917,73515 
"          1113 Securities agents, investment dealers and brokers",18395,16465,57828,132247,14230,61572,143436 
"          1114 Other financial officers",98670,93370,53917,77301,76050,55688,80663 
"        112 Human resources and business service professionals",218305,205745,53347,60640,190230,54851,61678 
"          1121 Human resources professionals",66225,64045,58734,62819,62035,59232,63251 
"          1122 Professional occupations in business management consulting",69585,63720,58669,69542,55040,61652,72284 
"          1123 Professional occupations in advertising, marketing and public relations",82500,77980,45019,51577,73160,46116,52364 
"      12 Administrative and financial supervisors and administrative occupations",1067565,1006060,39062,42188,970870,39636,42728 
"        121 Administrative services supervisors",83860,79185,49087,51297,78030,49422,51598 
"          1211 Supervisors, general office and administrative support workers",12610,12050,52110,54685,11860,52357,54935 
"          1212 Supervisors, finance and insurance office workers",16995,16390,55075,58776,16220,55286,58745 
"          1213 Supervisors, library, correspondence and related information workers",7055,5435,19597,29632,5085,22462,31091 
"          1214 Supervisors, mail and message distribution occupations",9640,9155,49663,46921,9070,49749,47073 
"          1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",37555,36155,47832,51139,35790,47983,51312 
"        122 Administrative and regulatory occupations",522295,491875,43869,48172,472015,44684,48923 
"          1221 Administrative officers",272965,258365,41011,45404,249615,41495,45954 
"          1222 Executive assistants",44620,43025,50064,54737,42270,50370,55192 
"          1223 Human resources and recruitment officers",30715,29030,46317,50007,28080,46579,50157 
"          1224 Property administrators",56565,49295,39812,46922,42820,42219,49896 
"          1225 Purchasing agents and officers",49590,47185,52372,58732,46305,52712,58977 
"          1226 Conference and event planners",24940,23365,30663,34616,21595,31696,35024 
"          1227 Court officers and justices of the peace",6045,5825,48814,51610,5665,48973,52220 
"          1228 Employment insurance, immigration, border services and revenue officers",36865,35795,54953,54865,35680,54992,54973 
"        124 Office administrative assistants - general, legal and medical",432375,407300,33417,33334,395550,33878,33667 
"          1241 Administrative assistants",374870,352560,32702,32691,341955,33143,33029 
"          1242 Legal administrative assistants",41130,39075,40195,39496,38150,40597,39866 
"          1243 Medical administrative assistants",16375,15670,32964,32418,15445,33052,32471 
"        125 Court reporters, transcriptionists, records management technicians and statistical officers",29040,27695,40044,40081,25275,41069,41439 
"          1251 Court reporters, medical transcriptionists and related occupations",10235,9600,30202,30197,7435,33813,31998 
"          1252 Health information management occupations",4900,4775,43094,43915,4725,43051,43806 
"          1253 Records management technicians",8760,8400,43361,45395,8250,43421,45478 
"          1254 Statistical officers and related research support occupations",5150,4920,46701,46574,4860,46758,46732 
"      13 Finance, insurance and related business administrative occupations",213930,199810,35706,39945,177260,37812,41962 
"        131 Finance, insurance and related business administrative occupations",213930,199810,35706,39945,177260,37812,41962 
"          1311 Accounting technicians and bookkeepers",154185,142265,29665,33573,122310,31829,35544 
"          1312 Insurance adjusters and claims examiners",27195,26335,52936,55564,25800,53075,55635 
"          1313 Insurance underwriters",15000,14485,50840,56109,14100,51310,56698 
"          1314 Assessors, valuators and appraisers",12460,11835,52691,57883,10320,55299,59693 
"          1315 Customs, ship and other brokers",5090,4890,41187,49912,4735,42026,50733 
"      14 Office support occupations",871210,804580,29484,30733,784095,29960,30974 
"        141 General office workers",468645,435585,26402,28072,425185,26790,28264 
"          1411 General office support workers",263680,245315,30452,31173,237745,31083,31509 
"          1414 Receptionists",186955,173035,20674,22390,170415,20845,22462 
"          1415 Personnel clerks",15235,14530,40742,40974,14330,40817,41025 
"          1416 Court clerks",2780,2705,43378,40993,2700,43269,41022 
"        142 Office equipment operators",55535,51890,27392,28230,50555,27777,28397 
"          1422 Data entry clerks",53215,49715,27067,27846,48600,27480,28043 
"          1423 Desktop publishing operators and related occupations",2325,2175,38022,37032,1955,38360,37184 
"        143 Financial, insurance and related administrative support workers",250545,237495,36215,37734,231485,36549,38033 
"          1431 Accounting and related clerks",161800,152790,34515,35410,147850,34929,35760 
"          1432 Payroll clerks",37330,35905,43440,43562,35560,43615,43816 
"          1434 Banking, insurance and other financial clerks",34465,32815,37672,43734,32235,37753,43751 
"          1435 Collectors",16940,15985,34411,34539,15840,34573,34630 
"        145 Library, correspondence and other clerks",96485,79615,19989,26037,76865,20432,26395 
"          1451 Library assistants and clerks",20560,19545,18320,21955,19445,18309,21904 
"          1452 Correspondence, publication and regulatory clerks",29975,28125,38320,39498,27200,39069,39877 
"          1454 Survey interviewers and statistical clerks",45950,31945,9648,16685,30225,9958,17150 
"      15 Distribution, tracking and scheduling co-ordination occupations",394115,368815,33905,35331,357735,34492,35783 
"        151 Mail and message distribution occupations",108415,99590,32370,33144,92020,34768,34256 
"          1511 Mail, postal and related workers",38290,35975,33453,33862,35330,33818,34072 
"          1512 Letter carriers",35035,33370,52375,44421,32295,53690,45299 
"          1513 Couriers, messengers and door-to-door distributors",35085,30245,12193,19846,24400,10943,19905 
"        152 Supply chain logistics, tracking and scheduling co-ordination occupations",285700,269225,34233,36140,265715,34428,36312 
"          1521 Shippers and receivers",132225,124205,30118,31103,123045,30228,31181 
"          1522 Storekeepers and partspersons",52580,49650,35626,37127,48920,35876,37430 
"          1523 Production logistics co-ordinators",21050,20255,46876,51236,20010,47117,51464 
"          1524 Purchasing and inventory control workers",36555,34240,33062,34204,33695,33286,34329 
"          1525 Dispatchers",37660,35520,42184,43874,34775,42675,44329 
"          1526 Transportation route and crew schedulers",5630,5355,44315,47780,5270,44358,47998 
"    2 Natural and applied sciences and related occupations",1306595,1240730,58772,64502,1185625,59905,65520 
"      21 Professional occupations in natural and applied sciences",712600,675915,67592,74007,642675,68787,75201 
"        211 Physical science professionals",38015,36005,68692,91219,34340,69417,92155 
"          2111 Physicists and astronomers",3225,3085,76714,82483,2925,78914,83567 
"          2112 Chemists",16750,15895,58507,64001,15575,58876,64260 
"          2113 Geoscientists and oceanographers",14405,13545,85522,130061,12475,87655,134160 
"          2114 Meteorologists and climatologists",1440,1375,73406,71841,1345,73635,72674 
"          2115 Other professional occupations in physical sciences",2200,2105,70412,72187,2025,70923,73255 
"        212 Life science professionals",35710,34320,57885,58740,32705,58944,59600 
"          2121 Biologists and related scientists",23275,22365,58061,60060,21695,58835,60378 
"          2122 Forestry professionals",5570,5335,63226,61597,4920,64962,63284 
"          2123 Agricultural representatives, consultants and specialists",6865,6620,52755,51980,6090,54028,53850 
"        213 Civil, mechanical, electrical and chemical engineers",163245,155340,75243,84021,149465,76489,85136 
"          2131 Civil engineers",54525,51765,74618,83276,49795,75236,84473 
"          2132 Mechanical engineers",50475,48025,72195,80536,46200,73543,81482 
"          2133 Electrical and electronics engineers",45805,43860,78689,84856,42140,79950,85938 
"          2134 Chemical engineers",12435,11685,79924,98509,11330,80318,99973 
"        214 Other engineers",76630,72660,78366,91500,70655,78968,92395 
"          2141 Industrial and manufacturing engineers",17125,16300,68172,74474,15960,68783,74976 
"          2142 Metallurgical and materials engineers",2565,2430,77950,85164,2345,78862,87133 
"          2143 Mining engineers",4080,3805,95948,122472,3660,96261,122865 
"          2144 Geological engineers",2540,2470,81419,98770,2400,80246,99672 
"          2145 Petroleum engineers",10215,9640,113445,152721,9390,113234,154249 
"          2146 Aerospace engineers",6420,6085,73939,75954,5950,74054,75849 
"          2147 Computer engineers (except software engineers and designers)",27310,25940,78203,81062,25285,78906,81988 
"          2148 Other professional engineers, n.e.c.",6380,5985,66996,80194,5665,69780,82187 
"        215 Architects, urban planners and land surveyors",39895,37770,60067,68127,34270,61127,67905 
"          2151 Architects",16685,15675,56622,70528,13405,57645,69936 
"          2152 Landscape architects",1910,1800,48276,53403,1520,55053,58386 
"          2153 Urban and land use planners",11660,11210,65020,67086,10760,65464,67358 
"          2154 Land surveyors",9630,9080,59649,68186,8580,59755,67106 
"        216 Mathematicians, statisticians and actuaries",12420,11990,68698,84795,11650,69510,86470 
"          2161 Mathematicians, statisticians and actuaries",12420,11995,68698,84795,11645,69510,86470 
"        217 Computer and information systems professionals",346690,327835,64369,65375,309595,65480,66631 
"          2171 Information systems analysts and consultants",157615,149525,68711,69692,142000,69663,70633 
"          2172 Database analysts and data administrators",16210,15490,65445,65675,15025,66067,66065 
"          2173 Software engineers and designers",39560,37755,77870,79859,36685,78610,80758 
"          2174 Computer programmers and interactive media developers",107350,101300,60127,60066,96215,60906,60810 
"          2175 Web designers and developers",25960,23775,34693,37656,19665,39018,40297 
"      22 Technical occupations related to natural and applied sciences",593995,564815,49448,53128,542950,50159,54061 
"        221 Technical occupations in physical sciences",43125,40960,44651,51109,40260,44655,51213 
"          2211 Chemical technologists and technicians",29485,27945,42254,46165,27620,42497,46337 
"          2212 Geological and mineral technologists and technicians",13645,13015,52113,61729,12645,52008,61861 
"        222 Technical occupations in life sciences",52285,49740,34850,38395,46815,36620,39478 
"          2221 Biological technologists and technicians",12205,11620,35297,38067,11350,35760,38188 
"          2222 Agricultural and fish products inspectors",5695,5520,50666,48108,5440,51409,48600 
"          2223 Forestry technologists and technicians",8860,8540,41836,42426,8160,42833,43159 
"          2224 Conservation and fishery officers",6465,6300,50349,47351,6250,50552,47673 
"          2225 Landscape and horticulture technicians and specialists",19065,17755,23436,30470,15615,25222,32033 
"        223 Technical occupations in civil, mechanical and industrial engineering",85320,81310,52859,56143,79115,53166,56467 
